Dia Semana,Data,Tem festa?,Concentração,Saída,Cidade,BLOCO / TROÇA,BLOCO/TROÇA - URL,LOCAL,LATITUDE,LONGITUDE,Orquestra
SÁBADO,14/02,FALSE,14:00,15:00,Olinda,Afojubá Batuque,https://www.instagram.com/afojubarecife,Mosteiro São Bento,-8.0198269,-34.8521035,
SÁBADO,14/02,FALSE,13:00,14:00,Olinda,Donzelinhos dos Milagres,https://www.instagram.com/donzelinhos,Largo do Amparo,-8.0112489,-34.8542192,
SÁBADO,14/02,FALSE,13:00,14:00,Olinda,Moidicuento,https://www.instagram.com/moidicuento/,Praça Cel João Lapa ,-8.0186913,-34.8538912,
SÁBADO,14/02,FALSE,14:00,14:00,Olinda,Bumba Meu Bowie,https://www.instagram.com/blocobumbameubowie/,Praça do Jacaré,-8.0202577,-34.8504164,
SÁBADO,14/02,FALSE,14:00,14:00,Olinda,Maracadonna,https://www.instagram.com/maracadonna/,Praça do Jacaré,-8.0202577,-34.8504164,
SÁBADO,14/02,FALSE,10:00,14:00,Olinda,A Flor de Zíaco,https://www.instagram.com/aflordeziaco,"Estrada do Bonsucesso, 241",-8.0098186,-34.852325,Henrique Dias
SÁBADO,14/02,FALSE,13:30,14:30,Olinda,Ta Bom a Gente Freva,https://www.instagram.com/tabomagentefreva/,Mosteiro São Bento,-8.0198269,-34.8521035,Orquestra Backstage
SÁBADO,14/02,FALSE,14:00,14:50,Olinda,Chapadinhos na Praia,https://www.instagram.com/chapadinhosnapraiatcm,Alto da Sé,-8.0139781,-34.849701,
SÁBADO,14/02,TRUE,12:00,16:00,Olinda,Ceroula de Olinda,https://www.instagram.com/ceroula_oficial/,Colégio Sao Bento,-8.0198534,-34.8507894,Maestro Oséas
SÁBADO,14/02,FALSE,16:00,16:00,Olinda,Hoje a Mangueira Entra,https://www.instagram.com/hojeamangueiraentra/,"Rua Coronel Joaquim Cavalcanti, 487",-8.0130762,-34.8543868,
SÁBADO,14/02,FALSE,15:00,16:00,Recife,Cordas e Retalhos,,"Rua da Guia, 86",-8.062077,-34.8748768,Maestro Edson Rodrigues
SÁBADO,14/02,FALSE,15:00,15:00,Olinda,Sobrecú,https://www.instagram.com/bloco.sobrecu/,Beco do Bajado,-8.0134378,-34.8528525,Orquestra Frevo e Folia
SÁBADO,14/02,FALSE,16:00,17:00,Olinda,Menino da Tarde,https://www.instagram.com/meninodatarde/,Largo do Guadalupe,-8.010065,-34.8558844,Maestro Carlos
SÁBADO,14/02,TRUE,10:00,17:00,Olinda,Papudinhos do Bonsucesso,https://www.instagram.com/papudinhosdobonsucesso,Espaço Cultural Osvaldo Sérgio,-8.0164209,-34.8482814,Paranampuká
SÁBADO,14/02,FALSE,17:00,18:00,Olinda,Burra do Rosário,https://www.instagram.com/c.c.aburrado/,Guadalupe - Sede da Burra,-8.010065,-34.8558844,
SÁBADO,14/02,FALSE,18:00,19:00,Olinda,Afoxé Alafin Oyó,https://www.instagram.com/alafineusou,Largo do Guadalupe,-8.010065,-34.8558844,
SÁBADO,14/02,FALSE,18:00,19:00,Olinda,John Travolta,https://www.instagram.com/t.c.m.johntravolta/,Vassourinhas de Olinda - Largo do Amparo,-8.0112489,-34.8542192,
SÁBADO,14/02,FALSE,23:00,0:00,Olinda,Homem da Meia Noite,https://www.instagram.com/homemdameianoiteoficial/,Estrada do Bom Sucesso - Sede do Homem,-8.0107718,-34.8554117,
DOMINGO,15/02,FALSE,3:00,4:00,Olinda,Cariri,https://www.instagram.com/caririolindense/,Clube Cariri,-8.0089265,-34.8571461,
DOMINGO,15/02,FALSE,8:00,8:00,Olinda,Mucha Lucha,https://www.instagram.com/muchaluchaolinda/,Alto da Sé,-8.0139781,-34.849701,
DOMINGO,15/02,FALSE,9:00,9:00,Olinda,D'Breck,https://www.instagram.com/dbreckoriginal/,Largo do Bonfim,-8.0144344,-34.8514794,
DOMINGO,15/02,FALSE,8:00,9:00,Olinda,A Rede,https://www.instagram.com/arede.rede/,Largo do Guadalupe,-8.010065,-34.8558844,
DOMINGO,15/02,FALSE,8:00,9:00,Olinda,Birita de Olinda,https://www.instagram.com/tcmbiritadeolinda,Rua do Amparo 110,-8.0135758,-34.8528126,Maestro Célio
DOMINGO,15/02,FALSE,8:00,9:00,Olinda,Batuques de Pernambuco,https://www.instagram.com/batuquesdepernambuco,Praça do Carmo,-8.0171526,-34.84886,
DOMINGO,15/02,FALSE,9:00,9:59,Olinda,Patusco,https://www.instagram.com/bateriapatuscooficial/,"Rua do Amparo, 292",-8.0121218,-34.8535634,
DOMINGO,15/02,FALSE,8:00,10:00,Olinda,Filhas de Betha,https://www.instagram.com/filhasdebetha,Largo do Amparo,-8.0112489,-34.8542192,Paranampuká
DOMINGO,15/02,FALSE,9:00,10:00,Olinda,Sambadeiras,https://www.instagram.com/sambadeiras/,Ladeira da Misericordia,-8.0139579,-34.8525025,
DOMINGO,15/02,FALSE,9:00,10:00,Olinda,Enquanto Isso Na Sala da Justiça,https://www.instagram.com/saladajustica/,Alto da Sé,-8.0139781,-34.849701,
DOMINGO,15/02,FALSE,9:00,10:00,Olinda,Congobloco,https://www.instagram.com/congoblocobatebumoficial/,Sede do Macaratu Nação Pernambuco,-8.0164979,-34.8502895,
DOMINGO,15/02,FALSE,9:00,10:00,Olinda,Mulher do Dia,https://www.instagram.com/mulherdodiaoficial/,Casa PE no Carnaval,-8.0176491,-34.852134,Henrique Dias
DOMINGO,15/02,FALSE,10:00,10:00,Olinda,Sombatuki,https://www.instagram.com/sombatuki,Rua do Bonfim,-8.0155687,-34.84995,
DOMINGO,15/02,FALSE,10:00,11:00,Olinda,Bloco Tira Lama,https://www.instagram.com/blocotiralama,Mosteiro São Bento,-8.0198269,-34.8521035,
DOMINGO,15/02,FALSE,10:00,11:00,Olinda,Batadoní,https://www.instagram.com/batadoni,Mosteiro São Bento,-8.0198269,-34.8521035,
DOMINGO,15/02,FALSE,9:30,10:30,Olinda,Rebylleurias,https://www.instagram.com/rebylleurias/,"Rua do Bonfim, 449",-8.0142434,-34.8523588,Henrique Dias
DOMINGO,15/02,FALSE,10:00,11:00,Olinda,Cachorro do Farol,https://www.instagram.com/ocachorrodofarol,Praça do Amaro Branco,-8.0099423,-34.8465502,
DOMINGO,15/02,FALSE,11:00,12:00,Olinda,Dez de Xarque e Uma Latinha,https://www.instagram.com/dezdexarque,Largo do Amparo,-8.0112489,-34.8542192,Maestro Lessa/Maestro Sid
