dia_semana,data,hora_inicio,hora_fim,cidade,evento,local,observacao
DOMINGO,15/02,13:00,14:00,Olinda,Marim dos Caetés,Largo do Guadalupe,-
DOMINGO,15/02,12:00,15:00,Olinda,Fogo na Bacurinha,Mercado da Ribeira,Orquestra do Babá
DOMINGO,15/02,15:30,15:30,Olinda,Grheia,Alto da Sé,-
DOMINGO,15/02,11:00,15:30,Olinda,Bloco do Cimento,Vassourinhas de Olinda - Largo do Amparo,Maestro Oseas
DOMINGO,15/02,15:00,16:00,Olinda,Vassourinhas,Largo do Guadalupe,-
DOMINGO,15/02,10:00,16:00,Olinda,Vem Pra Sombra,"Estrada do Bonsucesso, 510",Henrique Dias
DOMINGO,15/02,15:00,16:00,Recife,Caranguejo no Caçuá,Rua da Moeda,Maestro Lessa/Maestro Sid
DOMINGO,15/02,17:00,19:00,Olinda,Elefante de Olinda,Largo do Bonsucesso - Sede do Homem,-
SEGUNDA,16/02,8:00,9:00,Olinda,Apoteose dos Bonecos Gigantes,Alto da Sé,-
SEGUNDA,16/02,8:00,9:00,Olinda,Minha Cobra,Largo do Bonsucesso,Henrique Dias
SEGUNDA,16/02,8:00,9:00,Olinda,Soul Delas,Mosteiro São Bento,-
SEGUNDA,16/02,8:00,9:00,Olinda,Tambores D'Saia,Praça de São Pedro,-
SEGUNDA,16/02,8:00,9:00,Olinda,Eu Acho é Pouquinho,Praça Laura Nigro,-
SEGUNDA,16/02,8:30,9:30,Olinda,Birita de Olinda,"Rua do Amparo, 110",Maestro Célio
SEGUNDA,16/02,10:00,10:00,Olinda,Pitombeira dos Quatro Cantos,Sede da Pitombeira,Maestro Carlos e Paranampuká
SEGUNDA,16/02,9:00,10:00,Olinda,Fábrica de Samba,Igreja de São Pedro,-
SEGUNDA,16/02,9:00,10:30,Olinda,México Peru,Ladeira da Misericórdia,-
SEGUNDA,16/02,10:00,10:30,Olinda,Comigo é Assim,Alto da Sé,Maestro Oséas
SEGUNDA,16/02,10:00,11:30,Olinda,Minhocão de Olinda,Atrás da Igreja de São Pedro,Henrique Dias
SEGUNDA,16/02,11:00,12:00,Olinda,Ta'Qui Pr'Ocês,"Rua Nelson Guedes da Silva, 142 (Beco do Lixo)",Orquestra do Babá
SEGUNDA,16/02,11:00,12:00,Olinda,A Sopa do Monte,"Estrada do Bonsucesso, 510",-
SEGUNDA,16/02,10:30,12:00,Olinda,Se Eu Flopar Me Beija,Praça Cel João Lapa,Henrique Dias
SEGUNDA,16/02,13:00,13:00,Olinda,O Cara,Clube Cariri,-
SEGUNDA,16/02,13:00,13:00,Olinda,O Franciscão,Sede da JOGO,-
SEGUNDA,16/02,11:30,13:30,Olinda,Mulher na Vara,Casa de Dona Dá,Maestro Oséas
SEGUNDA,16/02,13:00,14:00,Olinda,Pré-Sal,"Rua Joaquim Cavalcanti, 511",-
SEGUNDA,16/02,13:00,14:00,Recife,Amantes de Glória,Rua da Guia,-
SEGUNDA,16/02,15:30,15:30,Olinda,Grheia,Alto da Sé,-
SEGUNDA,16/02,15:00,16:20,Olinda,Vaca Profana,Fortin do Queijo,-
SEGUNDA,16/02,15:00,16:00,Recife,Bloco da Saudade,Praça Maciel Pinheiro,Orquestra Bloco da Saudade
SEGUNDA,16/02,15:00,16:00,Olinda,Bloco da Ema,Praça Cel João Lapa,-
SEGUNDA,16/02,15:00,16:00,Olinda,Fígado de Aço,"Rua do Bonfim, 109",-
SEGUNDA,16/02,15:00,16:00,Olinda,Batucada Atômica,Praça do Carmo - Focca,-
SEGUNDA,16/02,15:00,16:00,Olinda,Maracatu Nação Pernambuco,Casarão Nação Pernambuco,-
SEGUNDA,16/02,15:00,16:00,Recife,Segunda tem palhaço,Rua da Moeda,-
SEGUNDA,16/02,16:00,16:00,Recife,Cordas e Retalhos,Praça Joaquim Nabuco,Maestro Edson Rodrigues
SEGUNDA,16/02,15:30,16:00,Olinda,Eu Gosto Assim,Rua Dez de Novembro,Orquestra Backstage
SEGUNDA,16/02,13:00,17:00,Recife,Bloco do Nada,Rua Rosário da Boa Vista,Orquestra Botelho Frevo e Folia
SEGUNDA,16/02,14:30,17:00,Olinda,Garoto de Vassoura,"Rua Antonio Luciano de Oliveira, 239",Maestro Oséas
SEGUNDA,16/02,11:00,17:00,Olinda,Metido a Rico Porém Liso,Espaço Cultural Osvaldo Sérgio,-
SEGUNDA,16/02,18:00,19:30,Olinda,O Rodo,Casa de Dona Dá,Orquestra de Ninho
SEGUNDA,16/02,19:00,20:00,Recife,Noite dos tambores silenciosos,Pátio do Terço,-
SEGUNDA,16/02,19:00,20:00,Olinda,Boi da Macuca,Vassourinhas de Olinda - Largo do Amparo,-
TERÇA,17/02,7:00,7:00,Olinda,A Corda,Ladeira da Misericordia,-
TERÇA,17/02,7:00,8:00,Olinda,A Porca,Rua da Palha,Orquestra do Babá
TERÇA,17/03,8:00,9:00,Olinda,Pernambucar-te,Praça do Carmo,-
TERÇA,17/02,9:00,9:00,Olinda,D'Breck,Largo do Bonfim,-
TERÇA,17/02,8:00,9:00,Olinda,Maracatu Kangoma,"Rua do Amparo, 236",-
TERÇA,17/02,8:00,9:00,Olinda,Batadoní,Praça do Carmo,-
TERÇA,17/02,8:00,9:00,Olinda,Batuques de Pernambuco,Praça do Carmo,-
TERÇA,17/02,9:00,9:59,Olinda,Patusco,"Rua do Amparo, 292",-
TERÇA,17/02,10:00,10:00,Olinda,Pitombeira dos Quatro Cantos,Largo do Amparo,Maestro Carlos e Paranampuká
TERÇA,17/02,9:00,10:00,Olinda,Sambadeiras,Ladeira da Misericordia,-
TERÇA,17/02,9:30,10:30,Olinda,Rebylleurias,"Rua do Bonfim, 449",Henrique Dias
TERÇA,17/02,10:00,11:00,Olinda,Encontro dos Bonecos Gigantes,Largo do Guadalupe,-
TERÇA,17/02,11:00,12:00,Olinda,Os Abutres,Rua 15 de Novembro,Orquestra Santa Cecília
TERÇA,17/02,11:00,12:00,Olinda,Zebra das Olindas,Rua Maria Adalgisa Ferreira de Castro,Orquestra do Babá
TERÇA,17/02,11:00,13:00,Olinda,Quem Cola Entra,"Rua Henrique Dias, 130",Henrique Dias
TERÇA,17/02,12:00,14:30,Olinda,Segurucu,Bar Esquina do Carmo,Maestro Carlos
TERÇA,17/02,10:00,15:00,Olinda,Caranguejo Papamé,"Rua Jerônimo de Albuquerque, 112",Maestro Lessa/Maestro Sid
TERÇA,17/02,12:00,16:00,Recife,Bloco da Saudade,Praça Maciel Pinheiro,Orquestra Bloco da Saudade
TERÇA,17/02,12:00,16:00,Olinda,Ceroula de Olinda,Colégio Sao Bento,Maestro Oséas
TERÇA,17/02,15:00,16:00,Olinda,Rainha,"Rua Coronel Joaquim Cavalcante , 298",Frevor do Pina
TERÇA,17/02,15:00,16:00,Recife,Quero ver quem vai,Praça do Arsenal,Henrique Dias
TERÇA,17/02,16:00,17:00,Recife,Maracatu Nação Pernambuco,Praça do Arsenal,-
TERÇA,17/02,16:00,17:00,Olinda,Eu Acho é Pouco,A definir,-
TERÇA,17/02,16:00,17:00,Recife,Afojubá Batuque,Avenida Marquês de Olinda,-
TERÇA,17/02,17:00,19:30,Olinda,Lenhadores Olindense,Largo do Guadalupe,-
TERÇA,17/02,1900,20:00,Recife,Congobloco,Rua da Guia,-
QUARTA,18/02,8:00,8:00,Olinda,Bacalhau do Batata,Alto da Sé,-
QUARTA,18/02,10:00,10:00,Olinda,Isso Nú Hein?,Bar do Ró,-
QUARTA,18/02,10:00,11:00,Olinda,Bloco do Barão,Rua da Boa Hora,-
QUARTA,18/02,12:00,12:00,Olinda,Bloco do Reggae,A definir,-
QUARTA,18/02,13:00,14:00,Olinda,Coveirinhos na Folia,Cemitério de Guadalupe,-
QUARTA,18/02,16:00,18:00,Olinda,Boi da Macuca,Largo do Guadalupe,-
QUARTA,18/02,17:00,18:00,Olinda,Bloco do Case,Atrás da Igreja de São Pedro,-
QUARTA,18/02,18:00,19:00,Olinda,Encontro de Bois,Rua da Boa Hora,-
QUARTA,18/02,20:00,20:00,Olinda,Cortejo dos Afoxés,Largo do Guadalupe,-
QUARTA,18/02,23:00,23:59,Olinda,Segura a Coisa,Praça do Fortim,-
